"Call Number","Name","Author"
"001.94","Chariots of the Gods","Daniken, Erich von"
"001.942","Ancient Aliens","Däniken, Erich von"
"011.62","The Newbery & Caldecott Awards","Association for Library Service to Children"
"016.813","Genreflecting","Herald, Diana Tixier"
"001.98","QAnon, Chaos, and the Cross","Austin, Michael W."
"020.973","Foundations of Library and Information Science","Richard E. Rubin"
"025.8209","The Bad-ass Librarians of Timbuktu","Hammer, Joshua"
"032.02","Our World in Numbers","Gifford, Clive"
"030","BOOK The World Book Encyclopedia
"070.92","The Message","Coates, Ta-Nehisi"
"070.18","The Documentary Filmmaking Master Class","Chasse, Betsy"
"098.1097","Silenced in the Library","Jarvis, Zeke"
"094.2","Inky Fingers","Grafton, Anthony"
"100","Metaphysics as a Guide to Morals","Murdoch, Iris"
"110","Bottoming Out the Universe ","Grossinger, Richard"
"121.6","The Believer","Krasnostein, Sarah"
"128","The Meaning of Human Existence","Wilson, Edward O."
"130","The Unidentified","Dickey, Colin"
"133.1097","Haunted Creede","Payne, Kandra"
"149.73","Calling Bullshit","Bergstrom, Carl T."
"155.24","Atomic Habits","Clear, James"
"155.937","The Grief Cure","Delistraty, Cody"
"158.13","The Ritual Effect","Norton, Michael"
"177.7","What Does It Mean To Be Kind?","DiOrio, Rana"
"179.9","Learning to Disagree","Inazu, John D."
"193","Beyond Good and Evil","Nietzsche, Friedrich Wilhelm"
"190","Question Everything 
"201.6153","Outwitting the Devil","Hill, Napoleon"
"204","Outrageous Openness","Silver, Tosha"
"211.8","Invisible Jesus","McKnight, Scot"
"221.922","When Women Pray","Jakes, T. D."
"220","The Year of Living Biblically","Jacobs, A. J."
"231.745","The Josiah Manifesto","Cahn, Jonathan"
"248.4","Mostly What God Does","Guthrie, Savannah"
"248.4","The Screwtape Letters","Lewis, C. S."
"248.4","Holy Hygge","Erickson, Jamie"
"261","Eclipse of God","Lutzer, Erwin W."
"277.3083","The Return of the Gods","Cahn, Jonathan"
"279.6092","A Well-trained Wife","Levings, Tia"
"293.13","Norse Mythology","Gaiman, Neil"
"297.092","The Wonders We Seek","Faruqi, Saadia"
"303.483","Technofeudalism","Varoufakis, Yanis"
